1.000000000000000000e+00;1.000000000000000000e+00;9.700000000000000000e+01
1.000000000000000000e+00;2.000000000000000000e+00;9.550000000000000000e+01
1.000000000000000000e+00;3.000000000000000000e+00;9.550000000000000000e+01
1.000000000000000000e+00;4.000000000000000000e+00;9.550000000000000000e+01
1.000000000000000000e+00;5.000000000000000000e+00;9.600000000000000000e+01
2.000000000000000000e+00;1.000000000000000000e+00;9.666666666666667140e+01
2.000000000000000000e+00;2.000000000000000000e+00;9.700000000000000000e+01
2.000000000000000000e+00;3.000000000000000000e+00;9.700000000000000000e+01
2.000000000000000000e+00;4.000000000000000000e+00;9.600000000000000000e+01
2.000000000000000000e+00;5.000000000000000000e+00;9.750000000000000000e+01
3.000000000000000000e+00;1.000000000000000000e+00;9.800000000000000000e+01
3.000000000000000000e+00;2.000000000000000000e+00;9.366666666666667140e+01
3.000000000000000000e+00;3.000000000000000000e+00;9.650000000000000000e+01
3.000000000000000000e+00;4.000000000000000000e+00;9.550000000000000000e+01
3.000000000000000000e+00;5.000000000000000000e+00;9.650000000000000000e+01
4.000000000000000000e+00;1.000000000000000000e+00;9.700000000000000000e+01
4.000000000000000000e+00;2.000000000000000000e+00;9.700000000000000000e+01
4.000000000000000000e+00;3.000000000000000000e+00;9.700000000000000000e+01
4.000000000000000000e+00;4.000000000000000000e+00;9.500000000000000000e+01
4.000000000000000000e+00;5.000000000000000000e+00;9.700000000000000000e+01
5.000000000000000000e+00;1.000000000000000000e+00;9.700000000000000000e+01
5.000000000000000000e+00;2.000000000000000000e+00;9.450000000000000000e+01
5.000000000000000000e+00;3.000000000000000000e+00;9.500000000000000000e+01
5.000000000000000000e+00;4.000000000000000000e+00;9.350000000000000000e+01
5.000000000000000000e+00;5.000000000000000000e+00;9.500000000000000000e+01
